,Número REDS,Qtde Veículos,Natureza Principal Completa,Ano Fato,Mês Fato Resumido,Mês Numérico Fato,Data Fato,Dia da Semana Fato,Horário Fato,Faixa 1 Hora Fato,Faixa 6 Horas Fato,Tipo Veículo,Alvo Corrigido,Situação Veículo,Causa Presumida,Descrição Meio Utilizado,Descrição Grupo Local Imediato,Descrição Local Imediato,Logradouro Ocorrência - Tipo,Bairro,Bairro Não Cadastrado,Bairro - FATO FINAL,Bairro - FATO FINAL - Municipio ,Município,Município - Código,UF - Sigla,RISP ,RMBH
93,2015-000079420-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,02/01/2015,SEXTA-FEIRA,00:30:00,De 00:00 as 00:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,OUTRAS MOTIVACOES/CAUSAS ,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,FRANCISCO BERNARDINO,,FRANCISCO BERNARDINO,"FRANCISCO BERNARDINO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
132,2015-000119317-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,02/01/2015,SEXTA-FEIRA,20:30:00,De 20:00 as 20:59,De 18:00 as 23:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,CONHECIMENTO TECNICO ESPECIFICO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CIDADE DO SOL,,CIDADE DO SOL,"CIDADE DO SOL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
238,2015-000198015-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,04/01/2015,DOMINGO,10:00:00,De 10:00 as 10:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,IGNORADO,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,AVENIDA,ALTO DOS PASSOS,,ALTO DOS PASSOS,"ALTO DOS PASSOS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
256,2015-000218977-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,04/01/2015,DOMINGO,16:00:00,De 16:00 as 16:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,ARROMBAMENTO/ROMPIMENTO DE OBSTACULO,RESIDENCIA UNIFAMILIAR URBANA,CASA,RUA,QUINTA DAS AVENIDAS,QUINTA DAS AVENIDAS,QUINTA DAS AVENIDAS,"QUINTA DAS AVENIDAS, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
270,2015-000237512-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,04/01/2015,DOMINGO,22:30:00,De 22:00 as 22:59,De 18:00 as 23:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,GRAJAU,,GRAJAU,"GRAJAU, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
309,2015-000273033-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,05/01/2015,SEGUNDA-FEIRA,10:40:00,De 10:00 as 10:59,De 06:00 as 11:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,CENTRO,,CENTRO,"CENTRO, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
323,2015-000282623-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,05/01/2015,SEGUNDA-FEIRA,13:30:00,De 13:00 as 13:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,VANTAGEM ECONOMICA,MEIO DESCONHECIDO,EMBARCACAO AEREA / AQUATICA / TERRESTRE,MOTOCICLETA,RUA,CIDADE DO SOL,,CIDADE DO SOL,"CIDADE DO SOL, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
325,2015-000283630-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,05/01/2015,SEGUNDA-FEIRA,14:17:00,De 14:00 as 14:59,De 12:00 as 17:59,MOTOCICLETA,Veículos,FURTADO,IGNORADO,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,FURTADO DE MENEZES,,FURTADO DE MENEZES,"FURTADO DE MENEZES, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
334,2015-000298312-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,05/01/2015,SEGUNDA-FEIRA,16:00:00,De 16:00 as 16:59,De 12:00 as 17:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,EMPREGO DE CHAVE FALSA / MICHA / GAZUA,VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,SANTA HELENA,,SANTA HELENA,"SANTA HELENA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
549,2015-000502302-001,1.0,FURTO CONSUMADO,2015.0,JAN,1.0,08/01/2015,QUINTA-FEIRA,01:00:00,De 01:00 as 01:59,De 00:00 as 05:59,AUTOMOVEL,Veículos,FURTADO,VANTAGEM ECONOMICA,OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO),VIA DE ACESSO,VIA DE ACESSO PUBLICA,RUA,IPIRANGA,,IPIRANGA,"IPIRANGA, JUIZ DE FORA",JUIZ DE FORA,313670.0,MG,4.0,3) Interior de MG
